"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A DevOps Approach for Cyber-Physical System-of-Systems Engineering through Arrowhead","C. Hegedũs; P. Varga; A. Frankó","Dept. of Telecommunications and Media Informatics, Budapest University of Technology and Economics, 2 Magyar Tudósok krt., Budapest, Hungary; Dept. of Telecommunications and Media Informatics, Budapest University of Technology and Economics, 2 Magyar Tudósok krt., Budapest, Hungary; AITIA International Inc., Industrial IoT Division, 48-50 Czetz János str, Budapest, Hungary",2021 IFIP/IEEE International Symposium on Integrated Network Management (IM),"30 Jun 2021","2021","","","902","907","The stakeholders in the Cyber-Physical System-of-Systems (CPS, SoS, CPSoS) domains need to adopt current methodologies that enable reliable but also flexible and timely completion of development, integration, deployment, operation, and even maintenance-related tasks. The so-called DevOps (Development & Operations) approach has been proven in various other domains of IT-related service completion and operation. Both the technology set and the management approaches of CPS and SoS practitioners can benefit the adoption of the DevOps toolchain success stories - the everyday life of software, cloud and IT-service development, and operations-focused companies. This paper proposes an expansion of the application area of the DevOps models, toolchains, and even utilities to the CPS and SoS domains. It proposes to create an abstraction of CPS devices as reusable infrastructure resources, which can be then automatically re-purposed for new workflow tasks, as well as to fill the remaining DevOps tooling gaps with actual Systems of the Arrowhead Framework.","1573-0077","978-3-903176-32-4","","European Commission; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9464069","","Companies;Software;Stakeholders;Reliability;Task analysis","","4","","37","","30 Jun 2021","17-21 May 2021","17-21 May 2021","IEEE","IEEE Conferences"
"A Machine Learning Framework for Detecting and Mitigation of Cyber Threats in IoT Environments","K. M. R. Seetharaman; P. Yadav","Principal Consltant - SAP, MBA (Project Managemenet), Universal Avenue Edison New Jersey, United States; Dept. of Computer Science Engineering (CSE), Oriental Institute of Science and Technology(OIST), R.G.P.V. University, Bhopal, M.P., India",2025 3rd International Conference on Inventive Computing and Informatics (ICICI),"15 Jul 2025","2025","","","1112","1119","Artificial intelligence (AI) and machine learning are becoming more and more important in enhancing threat detection, response, and proactive defense as cybersecurity quickly changes. Two prominent solutions, leverage ML to solve Cybect Threat Intelligence (CTI) issues. A machine learningbased approach for identifying and reducing cyber threats in IoT settings is presented in this research, with an emphasis on the categorization of cyberattacks using the ResNet model. The framework is evaluated employing the CICDS 2019 dataset, and the ResNet model outperforms traditional machine learning models such as Feedforward Neural Network (FFNN), Support Vector Machine (SVM), and Gated Recurrent Unit (GRU), achieving an accuracy of 99.5% and an AUC of 93.3%. Although it achieved high accuracy, the discriminatory power of the ResNet model is less than optimum, as seen from the ROC plot; more work needs to be done. This paper has shown how DL can be applied effectively to IoT cyber threat detection and proposes research and development areas for enhancement, such as different data sets, tuning models of DL, and light models in the IoT environment.","","979-8-3315-3830-9","10.1109/ICICI65870.2025.11069697","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11069697","Internet of Things (IoT);Cyber Threats;Cybersecurity;Threat Detection;Security Framework;Machine Learning (ML);CICDS 2019 Dataset","Support vector machines;Accuracy;Computational modeling;Prevention and mitigation;Machine learning;Threat assessment;Data models;Internet of Things;Tuning;Research and development","","4","","38","IEEE","15 Jul 2025","4-6 June 2025","4-6 June 2025","IEEE","IEEE Conferences"
"Framework for Integrating Threat Modeling into a DevOps Pipeline for Enhanced Software Development","L. Nikolov; A. Aleksieva-Petrova","Department of Computer Systems Technical, University of Sofia, Sofia, Bulgaria; Department of Computer Systems Technical, University of Sofia, Sofia, Bulgaria","2024 International Conference on Software, Telecommunications and Computer Networks (SoftCOM)","23 Oct 2024","2024","","","1","5","In the realm of continuous integration and continuous deployment (CI/CD), safeguarding software systems is crucial. Integrating threat modeling into the DevOps pipeline ensures that security considerations are an integral part of the software development process, helping to prevent vulnerabilities from being introduced into production. This study outlines a detailed framework for embedding threat modeling into a Jenkins DevOps pipeline. The framework involves incorporating threat model results into a database and using this data to perform automated security scans. Three challenges are identified in integration of security in DevOps pipeline and discussed against the proposed framework.","1847-358X","978-953-290-138-2","10.23919/SoftCOM62040.2024.10721871","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10721871","DevOps;DevSecOps;threat modeling;Jenkins;pipeline","Threat modeling;DevOps;Databases;Pipelines;Standards organizations;Machine learning;Software systems;Data models;Telecommunications;Security","","3","","14","","23 Oct 2024","26-28 Sept. 2024","26-28 Sept. 2024","IEEE","IEEE Conferences"
"SE-DO: Navigating the 6G Frontier with Scalable and Efficient DevOps for Intelligent Agents Optimization","P. M. Tshakwanda; H. Kumar; S. T. Arzo; M. Devetsikiotis","Department of Electrical and Computer Engineering, University of New Mexico, USA; Department of Electrical and Computer Engineering, University of New Mexico, USA; Department of Electrical and Computer Engineering, University of New Mexico, USA; Department of Electrical and Computer Engineering, University of New Mexico, USA",2024 IEEE 14th Annual Computing and Communication Workshop and Conference (CCWC),"13 Feb 2024","2024","","","0269","0277","In the imminent era of 6G dominance and the expanding realm of interconnected IoT devices, ensuring seamless connectivity is vital. This paper introduces the Scalable and Efficient DevOps (SE-DO) methodology—a scalable multi-agent system designed for next-gen networks. SE-DO’s avant-garde architecture dynamically integrates new agents, mirroring evolving IoT ecosystems. Two sets of agents manage vast IoT data in urban matrices: extraction agents collect, and preprocessing agents refine for computational tasks. Anticipating 6G’s prowess, training agents optimize machine learning models for real-time traffic analytics. Augmented by predictor agents, SE-DO prioritizes accuracy, efficiency, and security, validated empirically. SE-DO’s adaptability ensures scalable proficiency amid IoT integrations, facilitating a smooth transition to the 6G era. Addressing IoT challenges, SE-DO, rooted in a robust multi-agent system, optimizes agent performance in resource-constrained environments. Real-world experiments highlight SE-DO’s high accuracy and efficiency, making it pivotal for future network optimization. Access SE-DO’s future on GitHub—where innovation meets accessibility. As next-gen networks demand reliable solutions, SE-DO emerges as an indispensable tool for navigating emergent network paradigms.","","979-8-3503-6013-4","10.1109/CCWC60891.2024.10427717","National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10427717","Software-Defined Networking;Microservices;Intelligent Agent;Docker Container;DevOps;5G;6G","6G mobile communication;DevOps;Computer architecture;Internet of Things;Intelligent agents;Optimization;Multi-agent systems","","3","","14","IEEE","13 Feb 2024","8-10 Jan. 2024","8-10 Jan. 2024","IEEE","IEEE Conferences"
"Collaborative DDoS Detection in Distributed Multi-Tenant IoT using Federated Learning","E. C. P. Neto; S. Dadkhah; A. A. Ghorbani","Canadian Institute for Cybersecurity, University of New Brunswick, Fredericton, Canada; Canadian Institute for Cybersecurity, University of New Brunswick, Fredericton, Canada; Canadian Institute for Cybersecurity, University of New Brunswick, Fredericton, Canada","2022 19th Annual International Conference on Privacy, Security & Trust (PST)","18 Aug 2022","2022","","","1","10","Nowadays, the Internet of Things (IoT) has attracted much attention from the industry, and new initiatives are expected to be developed in the next decade. IoT is establishing a globally connected sensor network in which many devices are connected to the Internet generating large amounts of data. Conversely, many challenges need to be overcome to enable efficient and secure IoT applications (e.g., interoperability, security, standards, and server technologies). Furthermore, edge computing presents a paramount role in the diverse range of IoT applications. In this sense, processing sensitive data for different tenants (e.g., e-health and smart cities applications) requires transactions to be protected and isolated from different flows. Thereupon, different tenants can be targeted by Distributed Denial of Service (DDoS) attacks. However, attacks performed against a tenant remain unknown to others, preventing the improvement of detection and mitigation capabilities for DDoS attacks. The main obstacle in this collaboration relies on maintaining privacy in a multi-tenant environment while sharing the characteristics of attacks faced in the past. In this paper, we propose a collaborative DDoS detection and classification approach for distributed multi-tenant IoT environments using Federated Learning. This approach enables multiples tenants to collaboratively enhance their DDoS detection and classification capabilities across all edge nodes while maintaining their privacy. To accomplish this, tenants train deep learning instances on locally scaled traffic data and share the model parameters with other tenants. This strategy enables safer IoT operations and can be adopted in different applications. The experiments performed on a simulated environment considered the CICD-DoS2019 dataset and showed that the proposed approach can classify different DDoS attacks types with over 84.2% accuracy. The results demonstrate that collaborative DDoS detection enhances tenant protection compared to single detection.","","978-1-6654-7398-9","10.1109/PST55820.2022.9851984","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9851984","Deep Learning;Federated Learning;Internet of Things (IoT);Distributed Denial of Service (DDoS);Privacy;Security","Industries;Privacy;Collaboration;Denial-of-service attack;Collaborative work;Internet of Things;Servers","","34","","61","IEEE","18 Aug 2022","22-24 Aug. 2022","22-24 Aug. 2022","IEEE","IEEE Conferences"
"Artificial Intelligence in Next Generation IoT Infrastructure: Challenges and Opportunities","R. Arabelli; D. K. Chotaliya; R. T. Gadhave; B. Haritha; L. C. Kasireddy; M. Soni","Department of Electronics and Communications Engineering, School of Engineering, SR University, Warangal, India; Department of Instrumentation and Control Engineering, GEC-Rajkot, Rajkot, Gujarat; Pillai HOC College of Engineering and Technology, Rasayani, Tal. Khalapur, MH, India; Department of ECE, St. martin's Engineering College, Hyderabad; Enterprise DevSecOps Architect R&D - Engineering, ThoughtSpot Inc, Franklin, TN, USA; Dr. D. Y. Patil Vidyapeeth, Pune, Dr. D. Y. Patil School of Science & Technology, Pune","2025 First International Conference on Advances in Computer Science, Electrical, Electronics, and Communication Technologies (CE2CT)","2 Apr 2025","2025","","","1436","1440","Numerous facets of the public realm could be revolutionised by the convergence of the Internet of Things (the Internet of Things) and Artificial Intelligence (AI). This project developed a based-on data predictive maintenance system for manufacturing production lines. One of these anticipated improvements that can be included into the factory's production system is “AI of Things (AIoT),” which refers to the use of the IoT to carry out intelligent tasks with the aid of AI integration. By using the information created by IoT sensors progressively, the system utilizes machine learning (ML), a part of AI, to recognize expected blunders preceding they happen. The viability of the innovation was surveyed utilizing IoT information from genuine assembling frameworks, and the results of the appraisal demonstrated that the prescient support structure was effective in distinguishing potential failure indicators and could assist with forestalling some production stops. Comparing the performance of ML techniques revealed that frameworks of the bagging ensemble technique Random Forest and the boosting technique XGBoost appeared to outperform each of the techniques in the assessment. The factory's production system now uses the best-performing ML techniques from the present research.","","979-8-3315-1857-8","10.1109/CE2CT64011.2025.10939142","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10939142","Artificial intelligence;Machine learning;IoT;Predictive maintenance;Production","Production systems;Technological innovation;Boosting;Sensor systems;Real-time systems;Internet of Things;Intelligent sensors;Bagging;Random forests;Predictive maintenance","","7","","24","IEEE","2 Apr 2025","21-22 Feb. 2025","21-22 Feb. 2025","IEEE","IEEE Conferences"
"Digital Twin-Driven Testing of IoT Systems: A Scalable Simulation-Based Approach","G. Georgiev; R. Trifonov; D. Gotseva; G. Kotov","Department of Computer Systems, Faculty of Computer Systems and Technologies, Technical University of Sofia, Sofia, Bulgaria; Department of Computer Systems, Faculty of Computer Systems and Technologies, Technical University of Sofia, Sofia, Bulgaria; Department of Computer Systems, Faculty of Computer Systems and Technologies, Technical University of Sofia, Sofia, Bulgaria; Department of Computer Systems, Faculty of Computer Systems and Technologies, Technical University of Sofia, Sofia, Bulgaria",2025 13th International Scientific Conference on Computer Science (COMSCI),"13 Nov 2025","2025","","","1","6","Digital twins are emerging as a transformative approach for testing Internet of Things (IoT) systems, offering virtual replicas of physical environments to enhance test efficiency, scalability, and reliability. This paper presents a scalable simulation-based testing methodology driven by digital twin technology. We discuss how a digital twin of a smart home IoT system can be used to execute extensive test scenarios faster and more safely than on physical hardware. A hypothetical experimental evaluation is described in which a smart home digital twin is subjected to various sensor events, network conditions, and fault injections. Comparative analysis with traditional physical testing shows significant improvements: test coverage is broadened by simulating extreme and rare conditions, and testing time is greatly reduced through accelerated and parallelized virtual experiments. The results indicate that digital twin-driven testing can uncover 30% more faults prior to deployment and reduce testing duration by over 40% compared to conventional methods.","","979-8-3315-9814-3","10.1109/COMSCI67172.2025.11225248","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11225248","Digital Twin;Internet of Things (IoT);Simulation;Software Testing;Smart Home;Scalability;Reliability;Security;Virtual Testing;DevOps","Software testing;Scalability;Smart homes;Manuals;Digital twins;Software reliability;Internet of Things;Security;Testing;Load modeling","","","","17","IEEE","13 Nov 2025","13-15 Sept. 2025","13-15 Sept. 2025","IEEE","IEEE Conferences"
"Implementing DevOps Practices in CPPS Using Microservices and GitOps","I. Koren; F. Rinker; K. Meixner; M. Kröger; M. Zeng","Chair of Process and Data Science, RWTH Aachen University, Germany; CDL SQI, Institute of Information Systems Engineering, Technische Universität Wien, Austria; CDL SQI, Institute of Information Systems Engineering, Technische Universität Wien, Austria; Chair for Laser Technology, RWTH Aachen University, Germany; Laboratory for Machine Tools and Production Engineering, RWTH Aachen University, Germany",2023 IEEE 28th International Conference on Emerging Technologies and Factory Automation (ETFA),"12 Oct 2023","2023","","","1","4","As digitalization shapes Industry 4.0, integrating software engineering practices into the manufacturing domain becomes a key focus. DevOps is such a practice and methodology that enhances collaboration and automates processes in software development and IT operations. In previous work, we discussed challenges and opportunities of applying the DevOps paradigm in Cyber-Physical Production Systems (CPPS) engineering, which are complex systems that integrate physical components with computer-controlled operations. This paper instantiates our DevOps4CPPS framework, spotlighting the application of GitOps and microservices in a CPPS environment. A real-world case study from laser ultra short pulse manufacturing illustrates how the approach effectively addresses the inherent challenges of CPPS, boosting agility and operational performance, while reducing downtime. The paper provides guidance to researchers and practitioners on applying DevOps practices to CPPS, and suggests future research directions.","1946-0759","979-8-3503-3991-8","10.1109/ETFA54631.2023.10275433","Deutsche Forschungsgemeinschaft; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10275433","DevOps;Cyber-Physical Production Systems;Microservices;GitOps","Software design;Shape;Scalability;Microservice architectures;Data collection;Software;Fourth Industrial Revolution","","5","","9","IEEE","12 Oct 2023","12-15 Sept. 2023","12-15 Sept. 2023","IEEE","IEEE Conferences"
"Comparative Study of Clouds Services integrated with DevOps Practices","P. Gupta; S. Bhatia","Centre For Distance and Online Education, Manav Rachna International Institute of Research and Studies, Haryana, India; Centre For Distance and Online Education, Manav Rachna International Institute of Research and Studies, Haryana, India",2025 3rd International Conference on Intelligent Cyber Physical Systems and Internet of Things (ICoICI),"1 Dec 2025","2025","","","1817","1823","In today’s world, where everything is revolving around cloud that provides in-demand services of any industry, corporates or Institutions. DevOps refers to the combination of the development as well as the operations in a shared and collaborative way for the work done by an organization’s application development and the IT operations teams. The significance of the paper includes comparative analysis of different industries where the cloud and DevOps can be integrated that helps to take the author’s research to the next level in the real-time environment. This paper presents comparative study on enhancing the clouds services by using DevOps practices that helps to save money, increases speed, security aspects and provides flexibility and scalability. With CloudOps, services are cost efficient, accessible and seamlessly integrated. Also the paper demonstrates the deployment of matrices based on DevOps, AWS and Azure Effectiveness that helps in understanding how well DevOps suit with various platforms.","","978-1-6654-5753-8","10.1109/ICoICI65217.2025.11254217","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11254217","DEVOPS;Cloud;AWS;Google Cloud Platform","Cloud computing;DevOps;Scalability;Medical services;Real-time systems;Manufacturing;Security;Sustainable development;Standards;Edge computing","","","","15","IEEE","1 Dec 2025","17-19 Sept. 2025","17-19 Sept. 2025","IEEE","IEEE Conferences"
"A New Project Management Tool Based on DevSecOps","K. Zunnurhain; S. R. Duclervil","School of Computer Science, Kean University, Union, NJ, USA; School of Computer Science, Kean University, Union, NJ, USA",2019 International Conference on Computational Science and Computational Intelligence (CSCI),"20 Apr 2020","2019","","","239","243","Cyber Security has become an important and crucial part of our society. Software are many times developed with little to no guidelines and security components, costing the quality and security of the software. We investigated on different agile development life-cycle models including: Behavioral Driven Development, Scaled Agile Framework and DevOps and DevSecOps. Eventually, we decided to focus on the DevSecOps development life-cycle model. Different types of DevSecOps models were found and analyzed. The characteristics of each were gathered to develop criteria for a new and effective DevSecOps model. Our results show that the DevSecOps models were more reliable than the previous models. Hence we adapted this model to develop our website to allow more security. All the selected criteria are highlighted and discussed in this study along with the website.","","978-1-7281-5584-5","10.1109/CSCI49370.2019.00049","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9071258","Cyber Security, development models, scalability, DevOps, DevSecOps","Security;Software;Biological system modeling;Adaptation models;Tools;Project management;Analytical models","","7","","5","IEEE","20 Apr 2020","5-7 Dec. 2019","5-7 Dec. 2019","IEEE","IEEE Conferences"
"Emerging IOT Cybersecurity Threats in Machine Learning","V. R. Chintha; S. K. R. Akkemgari; V. N. R. K. Nizampatnam; R. Kaur; M. Sudagar","Department of Electrical Engineering, Sr Sysyems Engineer, Wright State University, Ohio, USA; Cloud Security/DevSecOps, Hyland Software, Apex, North Carolina, USA; Department of Computer Networks, Expert Network Security Engineer, Acxiom LLC, Austin, Texas, USA; Department of Commerce, Chandigarh Group of Colleges, Mohali, Punjab, India; Department of Electronics and Instrumentation Engineering, Hindusthan College of Engineering and Technology, Coimbatore, Tamil Nadu, India","2025 2nd International Conference on New Frontiers in Communication, Automation, Management and Security (ICCAMS)","24 Nov 2025","2025","","","1","6","The development of Internet of Things (IOT) devices has led to new danger routes in our connected society in recent years. Meagre IoT security practices make all these devices interesting targets for attackers, even though they bring automation and real-time feedback. This work presents a comprehensive analysis of how to detect and mitigate cybersecurity threats in IoT, leveraging statistical anomaly detection with machine learning (ML) techniques. A combination of the RF (Random Forest) technique and packet size analysis to detect unusual behaviours and classify them as network intrusions was employed. Additionally, a CIAE risk matrix was applied to estimate the exposure degree of device-level vulnerabilities. That item stands for CIAE or confidentiality, integrity, availability and exploitability. On benchmark datasets, the recommended technique beat traditional models with 96.3% accuracy and 0.98 AUC. These results suggest combining strategies to improve IoT cybersecurity.","","979-8-3315-9610-1","10.1109/ICCAMS65118.2025.11234439","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11234439","Internet of Things;Cybersecurity;Machine Learning;CIAE;Random Forest","Radio frequency;Automation;Accuracy;Prevention and mitigation;Real-time systems;Internet of Things;Computer security;Random forests;Anomaly detection;Unsupervised learning","","","","20","IEEE","24 Nov 2025","11-12 July 2025","11-12 July 2025","IEEE","IEEE Conferences"
"Self-Service Cybersecurity Monitoring as Enabler for DevSecOps","J. Díaz; J. E. Pérez; M. A. Lopez-Peña; G. A. Mena; A. Yagüe","Departamento de Sistemas Informáticos E.T.S.I.S.I., Universidad Politécnica de Madrid, Madrid, Spain; Departamento de Sistemas Informáticos E.T.S.I.S.I., Universidad Politécnica de Madrid, Madrid, Spain; Research and Development Department, Sistemas Avanzados de Tecnología, S. A. (SATEC), Madrid, Spain; Departamento de Sistemas Informáticos E.T.S.I.S.I., Universidad Politécnica de Madrid, Madrid, Spain; Departamento de Sistemas Informáticos E.T.S.I.S.I., Universidad Politécnica de Madrid, Madrid, Spain",IEEE Access,"5 Aug 2019","2019","7","","100283","100295","Current IoT systems are highly distributed systems that integrate cloud, edge, and fog computing approaches depending on where intelligence and processing capabilities are allocated. This distribution and heterogeneity make development and deployment pipelines very complex and fragmented with multiple delivery endpoints above hardware. This fact prevents rapid development and makes the operation and monitoring of production systems a difficult and tedious task, including cybersecurity event monitoring. The DevSecOps can be defined as a cultural approach to improve and accelerate the delivery of business value by making dev/sec/ops teams' collaboration effective. This paper focuses on self-service cybersecurity monitoring as an enabler to introduce security practices in a DevOps environment. To that end, we have defined and formalized an activity that supports `Fast and Continuous Feedback from Ops to Dev' by providing a flexible monitoring infrastructure so that teams can configure their monitoring and alerting services according to their criteria (you build, you run, and now you monitor) to obtain fast and continuous feedback from the operation and thus, better anticipate problems when a production deployment is performed. This activity has been formalized using the Software & Systems Process Engineering Metamodel by OMG and its instantiation is described through a case study that shows the versioned and repeatable configuration of a cybersecurity monitoring infrastructure (Monitoring as Code) through virtualization and containerization technology. This self-service monitoring/alerting allows breaking silos between dev, ops, and sec teams by opening access to key security metrics, which enables a sharing culture and continuous improvement.","2169-3536","","10.1109/ACCESS.2019.2930000","CROWDSAVING(grant numbers:TIN2016-79726-C2-1-R); European Union’s Horizon 2020 research and innovation programme (RECAP. http://www.recap-project.eu)(grant numbers:732667); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8766805","Cybersecurity;DevSecOps;monitoring as code;self-service monitoring","Monitoring;Internet of Things;Cloud computing;Software;Computer security;Edge computing","","51","","39","CCBY","19 Jul 2019","2019","","IEEE","IEEE Journals"
"Continuous Testing in the Development of IoT Applications","L. G. Guşeilă; D. -V. Bratu; S. -A. Moraru","Department of Automatics and Information Technology, Transilvania University of Braşov, Braşov, România; Department of Automatics and Information Technology, Transilvania University of Braşov, Braşov, România; Department of Automatics and Information Technology, Transilvania University of Braşov, Braşov, România",2019 International Conference on Sensing and Instrumentation in IoT Era (ISSI),"23 Mar 2020","2019","","","1","6","Internet-of-Things has evolved with the increased volume of data of interconnecting the physical world to the Internet. Cloud provides the underlying power for IoT to become a disrupting technology, revolutionizing the cloud, as we know it. IoT applications need to adapt frequently and rapidly to new requests. Increasing competition and rapidly changing market needs require from nowadays companies' flexibility and fast time to market of their products. To achieve these goals more and more organizations are relying on new IT technologies and software development processes. Though there are many publications around DevOps as a methodology and the use of a process for continuous integration and continuous development, there are fewer solutions provided which incorporate a software delivery pipeline incorporating all processes: continuous business planning, agile development, continuous integration, continuous deployment and continuous testing. The paper proposes a DevOps architecture and agile tools to be used in the implementation of a fully integrated DevOps pipeline based on open-source. Furthermore, continuous testing is covering test best practices and methods, which along with the DevOps pipeline can be widely implemented in any cloud environment, regardless of the cloud provider chosen.","","978-1-7281-1022-6","10.1109/ISSI47111.2019.9043692","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9043692","IoT;Cloud Computing;Agile Development;DevOps;Continuous Integration;Continuous Development;Continuous Testing;Automated Testing","","","9","","13","IEEE","23 Mar 2020","29-30 Aug. 2019","29-30 Aug. 2019","IEEE","IEEE Conferences"
"Template-based automation with distributed secure provisioning installer for remote cloud boxes","J. -S. Shin; J. Kim","School of Electrical Engineering and Computer Science, Gwangju Institute of Science and Technology (GIST), Gwangju, Korea; School of Electrical Engineering and Computer Science, Gwangju Institute of Science and Technology (GIST), Gwangju, Korea",2016 International Conference on Information and Communication Technology Convergence (ICTC),"5 Dec 2016","2016","","","33","35","The emerging edge computing concept with μClοud boxes, in charge of front-end data processing for remote large-scale cloud data centers, is addressing the delay and efficiency concerns for IoT-Cloud services. The infrastructure operators of IoT-Cloud services require several provisioning tools to handle a number of cloud boxes across multiple remote sites. The resulting open-source software provisioning tools should support automated installation and configuration for remote cloud boxes, albeit with flexibility and scalability. Thus, in this paper, we discuss our ongoing DevOps-based realization for DsP-Installer (Distributed Secure Provisioning Installer), which automates the template-based installation and configuration for remote cloud boxes.","","978-1-5090-1325-8","10.1109/ICTC.2016.7763428","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7763428","IoT-Cloud services;OpenStack cloud;DevOps-based automated provision;Open-Source software","Cloud computing;Internet of Things;Automation;Data centers;DevOps;Delays;Virtual machines;Servers;Random access memory;Open source software","","1","1","17","IEEE","5 Dec 2016","19-21 Oct. 2016","19-21 Oct. 2016","IEEE","IEEE Conferences"
"Towards Model-Based Continuous Deployment of Secure IoT Systems","N. Ferry; P. H. Nguyen","SINTEF, Oslo, Norway; SINTEF, Oslo, Norway",2019 ACM/IEEE 22nd International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C),"21 Nov 2019","2019","","","613","618","Software development and delivery of IoT systems would greatly benefit from DevOps as their requirements for reliability, quality, security and privacy are paramount. The ability to continuously evolve these systems to adapt to their environment is decisive to ensure and increase their trustworthiness (including security and privacy) and quality. In particular, there is a need for supporting the continuous deployment of secure IoT systems over IoT, Edge, and Cloud infrastructures. However, our recent survey shows a lack of specific support for deploying security and privacy mechanisms as part of the system. This position paper reports on an on-going extension of the modelling language and models@runtime implementation of the Generation and Deployment of Smart IoT Systems (GeneSIS) tool for supporting continuous deployment of IoT security and privacy mechanisms on the Edge. In particular, we present our early design of the extended version of GeneSIS with the new concepts of port, security capability, and privacy capability.","","978-1-7281-5125-0","10.1109/MODELS-C.2019.00093","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8904644","IoT, DevOps, Deployment, Model-Driven Engineering, model@runtime","","","10","","12","IEEE","21 Nov 2019","15-20 Sept. 2019","15-20 Sept. 2019","IEEE","IEEE Conferences"
"A Scalable DevOps Framework Using Kubernetes-Orchestrated Microservices for Cloud-Native Infrastructure","S. S. Poojary; S. Kamble; G. S. Mamatha","Software Engineering, RV College of Engineering, Bangalore, India; Software Engineering, RV College of Engineering, Bangalore, India; Information Science, RV College of Engineering, Bangalore, India",2025 9th International Conference on Computational System and Information Technology for Sustainable Solutions (CSITSS),"19 Dec 2025","2025","","","1","6","Think of a Formula 1 pit crew, swapping tires and tuning aerodynamics in seconds, guided by a race engineer's precise commands. That's the heart of our cloud-native DevOps framework, leveraging Kubernetes to orchestrate microservices for fast, reliable, and sustainable applications. This paper presents an innovative approach that empowers teams with automated CI/CD pipelines, infrastructure as code, observability, fault tolerance, security, AI-driven optimization, multi-cloud strategies, carbon-aware scheduling, regulatory compliance, cultural transformation, and a DevOps maturity model. By harnessing Kubernetes' pods, services, and autoscaling, we deliver scalability, resilience, and efficiency. Through clear architectural insights, real-world e-commerce and IoT case studies, and unique metrics, we tackle challenges like network performance, security, cost, sustainability, compliance, and team collaboration, providing a practical blueprint for modern DevOps practitioners.","2767-1097","979-8-3315-8894-6","10.1109/CSITSS67709.2025.11294211","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11294211","DevOps;Kubernetes;microservices;cloudnative;CI/CD;infrastructure as code;container orchestration;fault tolerance;scalability;security;AI optimization;multi-cloud;observability;carbon-aware scheduling;regulatory compliance;cultural transformation;DevOps maturity","Fault tolerance;DevOps;Scalability;Fault tolerant systems;Microservice architectures;Security;Cultural differences;Observability;Sustainable development;Optimization","","","","15","IEEE","19 Dec 2025","20-22 Nov. 2025","20-22 Nov. 2025","IEEE","IEEE Conferences"
"Prediction of DevOps readiness for software organization based on machine learning","Z. N. Hasan; I. A. Saleh","dept. Software, (of University of Mosul), Mosul, Iraq; dept. Software, (of University of Mosul), Mosul, Iraq","2025 3rd International Conference on Artificial Intelligence, Blockchain, and Internet of Things (AIBThings)","19 Dec 2025","2025","","","1","5","The term “DevOps predictions” is used in this paper only to refer to the ability to predict DevOps adoption maturity in software organizations. The paper presents a machine learning model for predicting the level of DevOps adoption maturity in software companies. This model assesses readiness based on three key dimensions: cultural alignment, technical infrastructure, and operational resilience. This method enables an organization’s overall ability to adequately deploy and maintain DevOps practices. This paper presents a machine learning-powered pipeline for predicting DevOps readiness in software companies, helping support strategic planning and digital transformation. The proposed method boasts high predictive power and reliability thanks to the application of several ensemble learning techniques and, most importantly, a voting regression model. The model’s $\mathbf{R}$-SQ coefficient was 0.99, and its error statistics were very low (MAE $=0.04$, RMSE $=0.04$), demonstrating the model’s high effectiveness in predicting organizational patterns and readiness indicators. The research combines technical performance analysis and an implementation-based tool to measure DevOps maturity. These findings suggest that machine learning can improve decision-making and guide organizations toward more successful DevOps adoption.","","979-8-3315-8856-4","10.1109/AIBThings66987.2025.11296144","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11296144","machine learning;DevOps;prediction;boosting;stacking;voting;random forest","DevOps;Stacking;Pipelines;Companies;Predictive models;Strategic planning;Software;Software reliability;Random forests;Resilience","","","","15","IEEE","19 Dec 2025","6-7 Sept. 2025","6-7 Sept. 2025","IEEE","IEEE Conferences"
