Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Bhande, A.S., Sharma, N.J., Barabde, S.V.","60005255400;60005255500;60004631000;","Emerging Trends in Database Design: Toward Improved Modeling and Development Practices",2025,"EPJ Web of Conferences","328",,"01065","","",0,,"10.1051/epjconf/202532801065","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011063880&doi=10.1051%2fepjconf%2f202532801065&partnerID=40&md5=85ac900969d86dd909fee11ee21ecf6e",Conference Paper,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-105011063880
"Valle, P., Arrieta, A., Han, L., Ali, S., Yue, T.","57271903800;56514865400;57841637400;56962801700;25651096400;","Defining and generating multi-level and uncertainty-wise test oracles for cyber-physical systems",2025,"Software and Systems Modeling","24","3",,"679","704",0,1,"10.1007/s10270-025-01271-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218826125&doi=10.1007%2fs10270-025-01271-8&partnerID=40&md5=b00029115c27961bce507dbc57bc46f1",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85218826125
"Fan, Y., Ma, H., Zhang, Y., Li, S., Guo, X., Wang, B.","59257785900;59258215100;57192176739;60153290700;57268004400;60038594600;","A DDoS attack detection method based on improved transformer and temporal feature enhancement",2025,"Journal of Supercomputing","81","8","947","","",0,3,"10.1007/S11227-025-07440-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019516972&doi=10.1007%2fS11227-025-07440-2&partnerID=40&md5=0cc905b51d8ca6bbd55a71d1f0386f4f",Article,"Final","",Scopus,2-s2.0-105019516972
"Awad, H., Ledoux, T., Bruneliere, H., Rivalan, J.","59208055800;23393061300;27067480800;57219281375;","VeriFogOps: Automated Deployment Tool Selection and CI/CD Pipeline Generation for Verifying Fog Systems at Deployment Time",2025,"Proceedings of the ACM Symposium on Applied Computing",,,,"1674","1683",0,1,"10.1145/3672608.3707854","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105006419564&doi=10.1145%2f3672608.3707854&partnerID=40&md5=64d225d18f166aa49dc7511819bfd136",Conference Paper,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-105006419564
"Rodríguez, P., Laso, S., Berrocal, J., Fernández, P., Ruiz-Cortés, A., Murillo, J.M.","59510541000;57215899094;32667521200;56365074900;15120180100;8687210000;","Computing Continuum Simulator: A comprehensive framework for continuum architecture evaluation",2025,"Softwarex","30",,"102156","","",0,,"10.1016/j.softx.2025.102156","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002487100&doi=10.1016%2fj.softx.2025.102156&partnerID=40&md5=b2e2d182f88b97716d6e0ea44b34d245",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-105002487100
"Vaish, P., Anand, N., Sharma, G.","58296792400;57193648536;57226032643;","Unleashing the power of Devops and Iot: a framework for software delivery and system availability",2025,"Multimedia Tools and Applications","84","13",,"12241","12264",0,1,"10.1007/s11042-024-19452-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004070607&doi=10.1007%2fs11042-024-19452-w&partnerID=40&md5=e4a05b7e945887faea4109cf7ecea9e3",Article,"Final","",Scopus,2-s2.0-105004070607
"Pereira, I., Carneiro, T., Figueiredo, E.","57193726837;6505541905;18433988600;","Manipulating a CI/CD Pipeline in an IoT Embedded Project: A Quasi-Experiment",2025,"Journal of Software Evolution and Process","37","4","e70022","","",0,,"10.1002/smr.70022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003231163&doi=10.1002%2fsmr.70022&partnerID=40&md5=986ac51ce1075066b7eb32aff1e8055b",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-105003231163
"Cheng, Y., Li, X., Mao, Z., Fan, W., Huang, W., Liu, W.","57197713247;59679867900;59679431400;35812034200;56286405800;55723569800;","IoTBenchSL: A Streamlined Framework for the Efficient Production of Standardized IoT Benchmarks with Automated Pipeline Validation",2025,"Electronics Switzerland","14","5","856","","",0,2,"10.3390/electronics14050856","https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000538349&doi=10.3390%2felectronics14050856&partnerID=40&md5=b37ab93fce4d9a7e060589443a5e7be1",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-86000538349
"Tang, B., Zhang, X., Yang, Q., Qi, X., Alqahtani, F., Tolba, A.","50162526500;57442581900;57202223559;57219853462;56113467000;56442428300;","Cost-optimized Internet of Things application deployment in edge computing environment",2025,"International Journal of Communication Systems","38","1","e5618","","",0,9,"10.1002/dac.5618","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172996582&doi=10.1002%2fdac.5618&partnerID=40&md5=c6e90f1e4c49c3e3b492e9a8cbb4de8d",Article,"Final","",Scopus,2-s2.0-85172996582
"Vora, U.","23006394000;","Identifying and Architecting Microservices for Edge Computing",2025,"Proceedings 2025 IEEE 22nd International Conference on Software Architecture Icsa C 2025",,,,"173","174",0,1,"10.1109/ICSA-C65153.2025.00032","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007920758&doi=10.1109%2fICSA-C65153.2025.00032&partnerID=40&md5=f5abe7c3ae3b3b57c9ac60ee159cf42a",Conference Paper,"Final","",Scopus,2-s2.0-105007920758
"Schubaur, P., Knauer, P., Merli, D.","58561660600;37083447900;36675433800;","Threats to the IoT Device Production Processes – A Blind Spot in the Product Security Lifecycle",2025,"IFIP Advances in Information and Communication Technology","738 IFIPAICT",,,"87","103",0,1,"10.1007/978-3-031-82065-6_7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85219200635&doi=10.1007%2f978-3-031-82065-6_7&partnerID=40&md5=11222b353ffc8d9eaebfe012ee4fe4a6",Conference Paper,"Final","",Scopus,2-s2.0-85219200635
"Kouach, B., Mekhfioui, M., El Mrabet, A., El Gouri, R.","59745967100;57215200937;58566242900;55868978200;","Implementing Machine Learning models in a Kubernetes cluster for a smart monitoring system",2025,"2025 11th International Conference on Optimization and Applications Icoa 2025 Proceedings",,,,"","",0,,"10.1109/ICOA66896.2025.11236859","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029625967&doi=10.1109%2fICOA66896.2025.11236859&partnerID=40&md5=5b31570ccde94bbb22294ef6cd9faeda",Conference Paper,"Final","",Scopus,2-s2.0-105029625967
"Myakala, R.K., Nagata, P.K., Lavudya, S., Pedhapally, S.K., Podduturi, V.R.","60421998600;60421858200;60421858300;60422855500;60422280000;","AutoDrift: A Forecast-Aware Concept Drift Detection and Retraining Pipeline in MLOps with CMAPSS",2025,"Proceedings of the IEEE International Conference on Big Data Computing Service and Applications Bigdataservice",,"2025",,"94","100",0,,"10.1109/BigDataService65758.2025.00019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105031397681&doi=10.1109%2fBigDataService65758.2025.00019&partnerID=40&md5=7d5f2016a11e49f91c41e51c8d7c4983",Conference Paper,"Final","",Scopus,2-s2.0-105031397681
"Poojary, S.S., Kamble, S., Mamatha, G.S.","60422880000;60422301800;35146519000;","A Scalable DevOps Framework Using Kubernetes-Orchestrated Microservices for Cloud-Native Infrastructure",2025,"2025 9th International Conference on Computational System and Information Technology for Sustainable Solutions Csitss 2025",,,,"","",0,,"10.1109/CSITSS67709.2025.11294211","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105031363910&doi=10.1109%2fCSITSS67709.2025.11294211&partnerID=40&md5=4b5df92c9094bb7e76f1bbfd73188847",Conference Paper,"Final","",Scopus,2-s2.0-105031363910
"Georgiev, G., Trifonov, R., Gotseva, D., Kotov, G.","58376879300;34881030700;35366158500;60076447000;","Digital Twin-Driven Testing of IoT Systems: A Scalable Simulation-Based Approach",2025,"2025 13th International Scientific Conference on Computer Science Comsci 2025 Proceedings",,,,"","",0,,"10.1109/COMSCI67172.2025.11225248","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026859299&doi=10.1109%2fCOMSCI67172.2025.11225248&partnerID=40&md5=5a8abaf4be27b6f5ae52dcbfa28565e8",Conference Paper,"Final","",Scopus,2-s2.0-105026859299
"Wolff, C., Schulz, P., Rettkowski, J., Sleibi, N., Trimech, S., Hensen, C.","54421696300;57190743367;56565618000;57219799569;58730723000;57225357470;","Continuous Integration for Electronic Products-Enabled by Digital Twins",2025,"Proceedings of the IEEE International Conference on Intelligent Data Acquisition and Advanced Computing Systems Technology and Applications Idaacs",,,,"168","174",0,,"10.1109/IDAACS68557.2025.11322082","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105032755941&doi=10.1109%2fIDAACS68557.2025.11322082&partnerID=40&md5=12987b2e5c50c9bce30a5e96c72a5137",Conference Paper,"Final","",Scopus,2-s2.0-105032755941
"Ferreira, D., Pereira, T., Mendes, I., Amaral, A.","59712990100;35097611700;57196907009;56207302800;","WordPress Architecture Modernization Projects",2025,"Lecture Notes of the Institute for Computer Sciences Social Informatics and Telecommunications Engineering Lnicst","607 LNICST",,,"121","131",0,,"10.1007/978-3-031-84426-3_10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001360085&doi=10.1007%2f978-3-031-84426-3_10&partnerID=40&md5=fffbf132143b7fbf60cf1fffb6888dfc",Conference Paper,"Final","",Scopus,2-s2.0-105001360085
"Martinsky, M., Papan, J., Tatarka, S.","60422145400;55560792500;58454221400;","Deployment and Design of AI-Powered Edge Systems for Wildlife Monitoring: A Survey",2025,"Iceta 2025 23rd Year of International Conference on Emerging Elearning Technologies and Applications Proceedings",,,,"566","571",0,,"10.1109/ICETA67772.2025.11280041","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105031445883&doi=10.1109%2fICETA67772.2025.11280041&partnerID=40&md5=211e136fb04d02c44f98dbb03dd95c31",Conference Paper,"Final","",Scopus,2-s2.0-105031445883
"Landa-Arrue, A., Barceló, M., Garitano, I., Urbieta, A.","59987207900;36636822600;50661415500;24832431600;","Secure Deployment of 5G/B5G Core Network",2025,"2025 14th Mediterranean Conference on Embedded Computing Meco 2025 Proceedings",,,,"","",0,,"10.1109/MECO66322.2025.11049157","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010373486&doi=10.1109%2fMECO66322.2025.11049157&partnerID=40&md5=f1b78257c092472fe3ab4598848152ee",Conference Paper,"Final","",Scopus,2-s2.0-105010373486
"Sharma, P., Nellutla, N.","60143771200;60262182000;","Automated Compliance-Aware DevSecOps for AI-Driven IoT Data Streams Using Cloud-Native ML Across AWS, GCP, and Azure",2025,"2025 20th International Joint Symposium on Artificial Intelligence and Natural Language Processing Isai Nlp 2025",,,,"","",0,,"10.1109/iSAI-NLP66160.2025.11320492","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105032729100&doi=10.1109%2fiSAI-NLP66160.2025.11320492&partnerID=40&md5=c0aaa787981b7df8c07caa625a6318ee",Conference Paper,"Final","",Scopus,2-s2.0-105032729100
"Singh, S., Sethi, S., Sharma, R., Vaibhavi, D., Tiwari, A.","57852603400;59223919800;59223849300;59223955000;59188392300;","AI-Powered CNC Digital Twin for Predictive Maintenance",2025,"2025 4th International Conference on Power Control and Computing Technologies Icpc2t 2025",,,,"892","897",0,3,"10.1109/ICPC2T63847.2025.10958573","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004744387&doi=10.1109%2fICPC2T63847.2025.10958573&partnerID=40&md5=8705fdfddbb125d7c7b4dc61fea60868",Conference Paper,"Final","",Scopus,2-s2.0-105004744387
"Pandi, V.S., Ranjani, K., Azzam, Z., Thethi, H.P., Dinesh, M., Yuvabharathi, E.","57191615002;57219295647;57211801015;54586104500;59258973900;59514205800;","Development of Interoperability in Industrial Internet of Things (IIoT) Ecosystems: Integrating DevOps and Digital Twins to Platform Integration and Ensure Seamless Device",2025,"2025 International Conference on Smart and Sustainable Technology Incsst 2025",,,,"","",0,,"10.1109/INCSST64791.2025.11210416","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024935819&doi=10.1109%2fINCSST64791.2025.11210416&partnerID=40&md5=f46681e5b23d2479e87a962466305bb7",Conference Paper,"Final","",Scopus,2-s2.0-105024935819
"Koch, W., Ortiz, R., Benda, O., Mishra, A.K.","58326405100;58135137900;57383002200;58560808500;","The Information System Factory - Return to Simplicity",2025,"International Conference on Electrical Computer Communications and Mechatronics Engineering Iceccme 2025",,,,"","",0,,"10.1109/ICECCME64568.2025.11277453","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105031371815&doi=10.1109%2fICECCME64568.2025.11277453&partnerID=40&md5=e3eac42a1b50f9a61b521ff1bb57b8b6",Conference Paper,"Final","",Scopus,2-s2.0-105031371815
"Davuluri, S.K., Challagulla, V., Mudapaka, V., Konka, U.","58404550000;59791930500;60201486500;58864545900;","AI-Driven DevOps in Telecommunications: Bridging Predictive Analytics with Continuous Delivery for Network Agility",2025,"2025 IEEE International Conference and Expo on Real Time Communications at Iit Rtc 2025",,,,"","",0,,"10.1109/RTC66985.2025.11211551","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022272857&doi=10.1109%2fRTC66985.2025.11211551&partnerID=40&md5=261fa5730e7d721ec2a22638ba733318",Conference Paper,"Final","",Scopus,2-s2.0-105022272857
"Capocchi, L., Santucci, J.-F., Tigli, J.-Y., Gomnin, T., Lavirotte, S., Rocher, G.","6506228384;7003990556;6602916792;59518090700;13605275200;57188680515;","Actuation Conflict Management in Internet of Things Systems DevOps: A Discrete Event Modeling and Simulation Approach",2025,"IFIP Advances in Information and Communication Technology","737 IFIPAICT",,,"189","206",0,2,"10.1007/978-3-031-81900-1_12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215304769&doi=10.1007%2f978-3-031-81900-1_12&partnerID=40&md5=4b37a7193b3c33a4e4a2bb98ebc80db5",Conference Paper,"Final","",Scopus,2-s2.0-85215304769
"Djaja, L.T., Kurniawati, Y.E.","60226588000;57193920274;","Enhancing Concurrent User Capacity Through Kubernetes Implementation: A Case Study at PT. XYZ",2025,"Procedia Computer Science","269",,,"1033","1042",0,,"10.1016/j.procs.2025.09.045","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023978642&doi=10.1016%2fj.procs.2025.09.045&partnerID=40&md5=192ef6e08c189224405a5609b0fdd836",Conference Paper,"Final","All Open Access, Gold",Scopus,2-s2.0-105023978642
"Luo, W., Cen, H., Zhang, H., Yang, S., Xue, S., Zhao, X.","60151812100;60151538300;60151648700;60151595100;60151865500;60151595200;","Research on a New Security Development Toolchain for Scheduling Systems Based on Static Analysis and Continuous Integration",2025,"Smart Innovation Systems and Technologies","452 SIST",,,"374","383",0,,"10.1007/978-3-032-06376-2_32","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105019512775&doi=10.1007%2f978-3-032-06376-2_32&partnerID=40&md5=0d3a9c7b7858fb73b0a23120c617fb36",Conference Paper,"Final","",Scopus,2-s2.0-105019512775
"Yalla, R.K.M.K., Devarajan, M.V., Ganesan, T., Yallamelli, A.R.G., Mamidala, V., Sambas, A.","59400488900;59031645000;59035044000;59369976600;59401305800;55536627700;","Securing Cloud-Edge Collaborative Computing with AI, GANs, TEEs, Micro Data Centers, and Cloud-Oriented DevOps for Privacy Protection",2025,"International Journal of Automation and Smart Technology","15","1",,"","",0,1,"10.5875/xyfd7w08","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009307977&doi=10.5875%2fxyfd7w08&partnerID=40&md5=75aa892acbb32a2472dd7806d2c0a185",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-105009307977
"Shidqi, H., Hermanto, B.R., Bandung, Y.","60516200800;57196329357;25824690200;","Design and Implementation of an IoT-Driven Full-stack Fleet Management System Leveraging a DevOps Approach",2025,"2025 12th International Conference on Advanced Informatics Concept Theory and Application Icaicta 2025",,,,"","",0,,"10.1109/ICAICTA67604.2025.11335146","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105033039411&doi=10.1109%2fICAICTA67604.2025.11335146&partnerID=40&md5=ad0f38cf4d09b5545ba17660e21d15cc",Conference Paper,"Final","",Scopus,2-s2.0-105033039411
"Rajeshwari, J., Patil, A.P., Sankarasubramanian, R., Yelaka, S.P., Megavarsini, J., Kirthana Bhoomika, C.R.","56538603000;36617874400;60195906400;60195813400;60196196800;60196392800;","Enhancing Interoperability and system performance through Automation and testing of IoT sensors",2025,"2025 International Conference on Next Generation Computing Systems Intelligent System for Sustainable Development Icngcs 2025 Conference Proceedings",,,,"","",0,,"10.1109/ICNGCS64900.2025.11182974","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021940383&doi=10.1109%2fICNGCS64900.2025.11182974&partnerID=40&md5=aa81974b6d504dda84d76e0612642ca4",Conference Paper,"Final","",Scopus,2-s2.0-105021940383
"Aissat, S., Beaulieu, J., Poirier, É., Motamedi, A., Gascon-Samson, J., Bordeleau, F.","59474925100;59474925200;54895017500;6603546314;56022777500;13106215800;","A devops framework for the systematic engineering and evolution of digital twins for built assets",2025,"Software and Systems Modeling",,,,"","",0,,"10.1007/s10270-025-01330-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105020411096&doi=10.1007%2fs10270-025-01330-0&partnerID=40&md5=59069470def79a2d985d3f9dfb44cb5b",Article,"Article in Press","",Scopus,2-s2.0-105020411096
"Yeman, R., Johnson, S.","58771670700;59716001300;","Advancing Industrial DevOps: Harnessing Digital Twins and AI for Future-Ready Engineering",2025,"AIAA Science and Technology Forum and Exposition AIAA Scitech Forum 2025",,,,"","",0,,"10.2514/6.2025-0284","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105001311208&doi=10.2514%2f6.2025-0284&partnerID=40&md5=dc5455281b4e9fee52c3083a8144488d",Conference Paper,"Final","",Scopus,2-s2.0-105001311208
"Singh, S., Desai, P., Amilkanthwar, S.","60250307900;60340948100;60250103300;","The Science of Threat Modeling in Complex Industrial Systems",2025,"2025 Cyber Awareness and Research Symposium Cars 2025",,,,"","",0,,"10.1109/CARS67163.2025.11337795","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105033546453&doi=10.1109%2fCARS67163.2025.11337795&partnerID=40&md5=01a9233e09559d1b1aca524ffbddf5f8",Conference Paper,"Final","",Scopus,2-s2.0-105033546453
"Farooq, M.A., Bellavista, P., Bujari, A., Sita, A.","57964671700;6603925242;35118641200;60320811400;","Leveraging AI and MLOps for IoT-Edge-Cloud Industrial Digital Twins: A Practical Case Study",2025,"2025 IEEE Conference on Standards for Communications and Networking Cscn 2025",,,,"","",0,,"10.1109/CSCN67557.2025.11230711","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105027168708&doi=10.1109%2fCSCN67557.2025.11230711&partnerID=40&md5=790431c5fc5e8b3ab2fabef16f47bbfe",Conference Paper,"Final","",Scopus,2-s2.0-105027168708
"Firizqi, J.D., Indrajit, R.E.","60439953600;57090804500;","Unified DevSecOps Toolchain for Secure AI-Enabled Maritime Applications: Theory, Concepts, and Implementation",2025,"2025 10th International Conference on Informatics and Computing Icic 2025",,,,"","",0,,"10.1109/ICIC68054.2025.11309501","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105032127834&doi=10.1109%2fICIC68054.2025.11309501&partnerID=40&md5=148978fb33412c95eecedf514f67692e",Conference Paper,"Final","",Scopus,2-s2.0-105032127834
"Schyr, C., Braun, N., Nickel, D., Schmidt, M.","7801370656;59155023400;57202981160;60244507100;","Integration Core - A Novel Platform for Scenario-Based Testing of Automated and Electric Mobility Systems",2025,"Iavvc 2025 IEEE International Automated Vehicle Validation Conference Proceedings",,,,"","",0,,"10.1109/IAVVC61942.2025.11219555","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105025148676&doi=10.1109%2fIAVVC61942.2025.11219555&partnerID=40&md5=5e1c1641d708c9b19b0f875260c35992",Conference Paper,"Final","",Scopus,2-s2.0-105025148676
