source;document_type;type_C_J;AREA;OUR-EVALUATION;nome-file2;TITLE;PUNTO;SOVRAPPOSIZIONI;NEW MODEL;MBSE;IOT SPECFIC;ALL;ALL5;DEPLOYMENT;ALL6;ORCHESTRATION;High Level;issues;ALL2;ALL22;Performance;Monitoring;Logginh;ALL3;ALL32;TESTING;ALL7;SECURITY;DEVSECOPS;ADDITIONAL;MATURITY MODEL;PRIVACY;ALL4;ALL8;SYSTEM;Citazioni distinte;Citazioni considerate su più aree;Quality Score;CLAUDE;Pag.Num;DESIGN;VALIDITY;REPLICABILITY;THREATS;MATURITY;POC;authors;year;doi;URL;abstract;keywords;journal;booktitle;publisher;thematic_area;iot_context;devops_practices;tools_frameworks;screening_reason;SCOPUS;IEEE;WOS;ACM;DISTINTI;
;Conference paper;C;0 - Motivation;LOW;13;When IoT Meets DevOps: Fostering Business Opportunities;1,32;1;;;3;3;1;;0;;;;0;0;;;;0;0;;0;;;;;;0;0;;2;2;1,32;HIGH;15;SUFFICIENT;SUFFICIENT;SUFFICIENT;SUFFICIENT;NO;NO;"Banica, L; Polychronidou, P; Radulescu, M; Stefan, C";2018;10.18502/kss.v3i10.3542;http://dx.doi.org/10.18502/kss.v3i10.3542;The Internet of Things (IoT) is the new digital revolution for the near-future society, the second after the creation of the Internet itself. The software industry is converging towards the large-scale deployment of IoT devices and services, and there's broad support from the business environment for this engineering vision. The Development and Operations (DevOps) project management methodology, with continuous delivery and integration, is the preferred approach for achieving and deploying applications to all levels of the IoT architecture. In this paper we also discuss the promising trend of associating devices with microservices, which are further encapsulated into functional packages called containers. Docker is considered the market leader in container-based service delivery, though other important software companies are promoting this concept as part of the technology solution for their IoT customers. In the experimental section we propose a three-layer IoT model, business-oriented, and distributed over multiple cloud environments, comprising the Physical, Fog/Edge, and Application layers.;;ECONOMIES OF THE BALKAN AND THE EASTERN EUROPEAN COUNTRIES IN THE CHANGING WORLD (EBEEC 2018);;;2 - CI/CD for Development, Integration, and Deployment;generic multi-cloud 3-layer IoT architecture (Physical/Fog-Edge/Application);"CI/CD; microservices; containerization";Docker;Directly addresses DevOps as a strategic enabler for IoT deployment, discussing CI/CD, microservices, containers, and a multi-layer IoT architecture with experimental validation.;0;0;2;0;2;
;Conference paper;C;4 - Performance Monitoring.;MEDIUM;15;Quality 4.0 in Software Engineering: Incorporating Scaled Agile Insights to a Framework Proposal;2,99;1;;;;0;0;;0;;;;0;0;;1;;1;1;;0;;;;;;0;0;;1;1;2,99;27;16;HIGH;GOOD;HIGH;SUFFICIENT;NO;NO;"Bankoff, KP; Muñoz, R; Pasini, A; Pesado, P";2024;10.1007/978-3-031-62245-8_13;;;;;;WOS;2 - CI/CD for Development, Integration, and Deployment;not specified;Scaled Agile practices (quality focus);not specified;;1;0;1;0;1;
;Conference paper;C;1 - Novel Models for IoT;LOW;16;Semantic Inferences Towards Smart IoT-Based Systems Actuation Conflicts Management.;3,66;2;;;2;2;1;;0;;;2;2;1;;;;0;0;;0;;;;;;0;0;;1;2;7,32;42;20;HIGH;HIGH;HIGH;GOOD;YES;YES;. Rocher, J.-Y. Tigli, and S. Lavirotte;2022;;;;;;;;1 - Novel Models for IoT;smart IoT actuation systems (conflict management);not specified (no abstract);not specified;;1;0;0;0;1;
;Conference paper;C;5 - Large-Scale Testing.;LOW;17;A Kafka-Based Robot Automation Testing Using Genetic Algorithm;1,32;1;;;;0;0;;0;;;;0;0;;;;0;0;1;1;;;;;;0;0;;0;0;1,32;106;13;SUFFICIENT;SUFFICIENT;SUFFICIENT;SUFFICIENT;NO;NO;"Yadav V.; Botchway R.K.; Šenkeřík R.; Komínková Oplatková Z.";2024;10.1007/978-981-99-8703-0_25;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187790993&doi=10.1007%2f978-981-99-8703-0_25&partnerID=40&md5=ed779bc95cc8122cf373d156c79a7bbe;;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187790993&doi=10.1007%2f978-981-99-8703-0_25&partnerID=40&md5=ed779bc95cc8122cf373d156c79a7bbe;"Application programs; Genetic algorithms; Middleware; Population statistics; Robots; Software design; Automation testing; Data stream; Endpoint; High volumes; Kafkum; Realtime processing; Robot framework; Software testings; Testing framework; Volume data; Software testing";SCOPUS;5 - Large-Scale Testing;"robotic automation testing (no abstract; inferred from title)";test automation (implied);Apache Kafka;;0;0;0;0;0;
;IEEE Conferences;C;7 - Comparative Analysis of Frameworks.;MEDIUM;18;A Microservices Platform for Monitoring and Analysis of IoT Traffic Data in Smart Cities;3,66;1;;;;0;0;2;1;;;;0;0;;;;0;0;;0;;;;;;0;0;3;22;22;3,66;130;10;HIGH;HIGH;HIGH;GOOD;YES;YES;"A. De Iasio; A. Furno; L. Goglia; E. Zimeo";2019;10.1109/BigData47090.2019.9006025;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9006025;;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9006025;"IoT Platform;Microservices;Smart cities;Traffic monitoring;Resilience";IEEE;4 - Performance Monitoring;smart-city IoT traffic data;microservices-based monitoring platform;not specified;;20;14;13;0;22;
;Article;J;2 - CI/CD for Development, Integration, and Deployment;HIGH;25;Fostering Agricultural Transformation through AI: An Open-Source AI Architecture Exploiting the MLOps Paradigm;3,66;2;;;;0;0;3;1;;1;;1;1;;;;0;0;;0;;;;;;0;0;-1;44;88;7,32;65;26;HIGH;HIGH;HIGH;GOOD;YES;YES;"Cob-Parro, AC; Lalangui, Y; Lazcano, R";2024;10.3390/agronomy14020259;;;;;;WOS;2 - CI/CD for Development, Integration, and Deployment;precision/smart agriculture (open-source AI architecture);MLOps;not specified;;44;0;26;0;44;
;Conference paper;C;4 - Performance Monitoring.;LOW;26;LOG plus plus Logging for a Cloud-Native World;2,99;1;;;;0;0;;0;;;;0;0;;;1;1;1;;0;;;;;;0;0;;6;6;2,99;99;12;HIGH;GOOD;HIGH;SUFFICIENT;NO;NO;Marron, M;2018;10.1145/3276945.3276952;;;;;;WOS;4 - Performance Monitoring;"cloud-native systems (logging); no explicit IoT device named";logging / observability practices;not specified;;2;2;1;5;6;
;Article;J;1 - Novel Models for IoT;LOW;27;Model-based approach for semantic-driven deployment of containerized applications to support future internet services and architectures;2,99;2;;3;;3;1;1;1;;;;0;0;;;;0;0;;0;;;;;;0;0;;7;14;5,98;41;24;HIGH;GOOD;HIGH;SUFFICIENT;YES;NO;Petrović N.;2019;10.2298/SJEE1901021P;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067337670&doi=10.2298%2fSJEE1901021P&partnerID=40&md5=3073e2fc7e58f692b6e3f79b465c64be;;;https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067337670&doi=10.2298%2fSJEE1901021P&partnerID=40&md5=3073e2fc7e58f692b6e3f79b465c64be;;SCOPUS;1 - Novel Models for IoT;future internet services/architectures (general);"semantic-driven automated deployment; containerization";not specified;;7;0;0;0;7;
;Conference paper;C;3 - System-Wide Orchestration of Software and Hardware.;LOW;28;Orchestration of Containerized Applications in the Cloud Continuum;2,99;2;;;;0;0;1;1;1;;;1;1;;;;0;0;;0;;;;;;0;0;;4;8;5,98;71;6;HIGH;GOOD;HIGH;SUFFICIENT;NO;YES;"G. Di Modica; A. Galletta; L. Carnevale; A. Alkhansa; A. Costantini; D. Cesini; P. Bellavista; M. Villari";2023;10.1109/PerComWorkshops56833.2023.10150375;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10150375;;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10150375;"Service orchestration;Computing Continuum;Cloud;Edge;IoT;Machine Learning;OCR";IEEE;3 - System-Wide Orchestration of Software and Hardware;cloud continuum (edge/cloud, general);container orchestration;not specified;;4;2;0;0;4;
;Article;J;7 - Comparative Analysis of Frameworks.;MEDIUM;30;PROMENADE: A big data platform for handling city complex networks with dynamic graphs;3,66;2;;;1;1;1;3;1;;;;0;0;;;;0;0;;0;;;;;;0;0;3;12;24;7,32;131;17;HIGH;HIGH;HIGH;GOOD;YES;YES;"Colarusso, C; De Iasio, A; Furno, A; Goglia, L; Merzoug, MA; Zimeo, E";2022;10.1016/j.future.2022.07.008;;;;;;WOS;2 - CI/CD for Development, Integration, and Deployment;smart-city big-data networks;not specified (no abstract);not specified;;12;0;8;0;12;
;Article;J;5 - Large-Scale Testing.;LOW;31;TDD4Fog: A Test-Driven Software Development Platform for Fog Computing Systems;1,32;1;;;;0;0;;0;;;;0;0;;;;0;0;1;1;;;;;;0;0;;7;7;1,32;107;4;SUFFICIENT;SUFFICIENT;SUFFICIENT;SUFFICIENT;NO;YES;"R. Li; X. Liu; X. Zheng; C. Zhang; H. Liu";2020;10.1109/CCGrid49817.2020.00-25;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9139723;;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9139723;"Test-Driven Development;DevOps;Microservices;Fog Computing;Smart Services";IEEE;5 - Large-Scale Testing;fog computing systems;test-driven development (TDD);not specified;;7;4;4;0;7;
;IEEE Conferences;C;6 - Security, Privacy and Risk Assessment.;LOW;32;The Next Generation Platform as a Service Cloudifying Service Deployments in Telco-Operators Infrastructure;2,31;1;;;;0;0;3;1;;;;0;0;;;;0;0;;0;;;;;;0;0;-1;14;14;2,31;112;6;GOOD;GOOD;GOOD;SUFFICIENT;YES;YES;"A. Mimidis; E. Ollora; J. Soler; S. Bessem; L. Roullet; S. Van Rossem; S. Pinneterre; M. Paolino; D. Raho; X. Du; J. Chesterfield; M. Flouris; L. Mariani; O. Riganelli; M. Mobilio; A. Ramos; I. Labrador; A. Broadbent; P. Veitch; M. Zembra";2018;10.1109/ICT.2018.8464838;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8464838;;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8464838;"telco;microservices;5G;PaaS;DevOps;Dev-for-Operations;SDN;NFV;FPGA;vSwitch;ioT;cloud native";IEEE;6 - Security, Privacy and Risk Assessment;telecom operator infrastructure (IoT-adjacent);cloudification of service deployments;not specified;;14;9;10;0;14;
;Conference paper;C;3 - System-Wide Orchestration of Software and Hardware.;LOW;34;A Cloud-Based Real-Time Weather Forecasting Application;1,32;1;;;;0;0;;0;1;;;1;1;;;;0;0;;0;;;;;;0;0;-1;12;12;1,32;LOW;4;SUFFICIENT;SUFFICIENT;SUFFICIENT;SUFFICIENT;NO;YES;"Y. Beeharry; T. P. Fowdur; J. A. Sunglee";2019;10.1109/TELSIKS46999.2019.9002327;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9002327;With the advent of Internet of Things (IoT) applications requiring massive streaming data collections, the need for new cloud databases has risen. This work focusses on the implementation of an end-to-end system from real-time data collection to real-time prediction. The storage system is implemented on the International Business Machines (IBM) cloud platform using the Cloudant NoSQL database service. The prediction algorithm is implemented in JAVA using the Devops Insights service together with a web interface and an android mobile application. The system demonstrates rapid real-time prediction when deployed on the IBM cloud platform as well as real-time storage capabilities.;"Weather prediction;IBM;Cloudant;DevOPs Insights;real-time";;2019 14th International Conference on Advanced Technologies, Systems and Services in Telecommunications (TELSIKS);IEEE;3 - System-Wide Orchestration of Software and Hardware;real-time weather/streaming IoT data (IBM Cloud);DevOps Insights (monitoring/prediction service);"IBM Cloud; Cloudant NoSQL; Java; Android app";Implements a cloud-based IoT weather forecasting application using IBM DevOps Insights, but DevOps is used as a peripheral service rather than being substantively integrated with IoT as a central theme.;1;7;8;0;12;
;Conference paper;C;2 - CI/CD for Development, Integration, and Deployment;LOW;35;A DevOps Approach for Cyber-Physical System-of-Systems Engineering through Arrowhead;1,65;1;;;;0;0;2;1;;;;0;0;;;;0;0;;0;;;;;;0;0;;10;10;1,65;HIGH;6;GOOD;SUFFICIENT;SUFFICIENT;SUFFICIENT;NO;YES;"C. Hegedũs; P. Varga; A. Frankó";2021;;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9464069;The stakeholders in the Cyber-Physical System-of-Systems (CPS, SoS, CPSoS) domains need to adopt current methodologies that enable reliable but also flexible and timely completion of development, integration, deployment, operation, and even maintenance-related tasks. The so-called DevOps (Development & Operations) approach has been proven in various other domains of IT-related service completion and operation. Both the technology set and the management approaches of CPS and SoS practitioners can benefit the adoption of the DevOps toolchain success stories - the everyday life of software, cloud and IT-service development, and operations-focused companies. This paper proposes an expansion of the application area of the DevOps models, toolchains, and even utilities to the CPS and SoS domains. It proposes to create an abstraction of CPS devices as reusable infrastructure resources, which can be then automatically re-purposed for new workflow tasks, as well as to fill the remaining DevOps tooling gaps with actual Systems of the Arrowhead Framework.;;;2021 IFIP/IEEE International Symposium on Integrated Network Management (IM);IEEE;2 - CI/CD for Development, Integration, and Deployment;Cyber-Physical System-of-Systems (industrial CPS/IoT);DevOps toolchain expansion to CPS/SoS domains;Arrowhead Framework;Explicitly proposes expanding DevOps models, toolchains, and utilities to Cyber-Physical System-of-Systems domains using the Arrowhead Framework, directly addressing motivations, practices, and tools for DevOps+IoT/CPS integration.;9;5;9;0;10;
